date,message,user_id
2024-11-06 14:51:23+00:00,"G-SHOCK GM-2100-1A9
Double LED light
LED light for the face (Super illuminator, selectable illumination duration (1.5 seconds or 3 seconds), afterglow)
LED backlight for the digital display (Super illuminator, selectable illumination duration (1.5 seconds or 3 seconds), afterglow)
Hand shift feature (Hands move out of the way to provide an unobstructed view of digital display contents)

Price - 3915 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-06 14:49:36+00:00,unknown,-1001226361445
2024-11-06 14:49:34+00:00,unknown,-1001226361445
2024-11-06 12:56:06+00:00,"*Ray-Ban:SUNGLASSES*

*UNISEX MODEL*

*PREMIUM QUALITY FRAME*

*UV PROTECTION LENS*

LIMITED STOCK ONLY

With Free Rayban Pouch 

Price - 2650 Birr

@easybuyorder1 | 0976667071",-1001226361445
2024-11-06 12:55:52+00:00,unknown,-1001226361445
2024-11-06 12:55:50+00:00,unknown,-1001226361445
2024-11-06 12:54:47+00:00,"*Ray-Ban:SUNGLASSES*

*UNISEX MODEL*

*PREMIUM QUALITY FRAME*

*UV PROTECTION LENS*

LIMITED STOCK ONLY

Price - 2750 Birr

@easybuyorder1 | 0976667071",-1001226361445
2024-11-06 12:53:31+00:00,unknown,-1001226361445
2024-11-06 12:50:51+00:00,"*Ray-Ban:SUNGLASSES*

*UNISEX MODEL*

*PREMIUM QUALITY FRAME*

*UV PROTECTION LENS*

LIMITED STOCK ONLY

With Free Rayban Pouch 

Price - 2650 Birr

@easybuyorder1 | 0976667071",-1001226361445
2024-11-06 12:50:22+00:00,unknown,-1001226361445
2024-11-06 12:48:37+00:00,"INTERNATIONAL BRANDS 
    Wallet +Belt COMBO
   Riversible belt black &brown
        Belt size 30/44
    Leather strap imp good quality 
*With brand box *

        LIMITED STOCK ONLY

PRICE - 2995 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-06 12:48:34+00:00,unknown,-1001226361445
2024-11-06 12:48:31+00:00,unknown,-1001226361445
2024-11-06 12:47:42+00:00,"INTERNATIONAL BRANDS 
    Wallet +Belt COMBO
   Riversible belt black &brown
        Belt size 30/44
    Leather strap imp good quality 
*With brand box *

        LIMITED STOCK ONLY

PRICE - 2995 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-06 12:47:41+00:00,unknown,-1001226361445
2024-11-06 12:45:44+00:00,"INTERNATIONAL BRANDS 
    Wallet +Belt COMBO
   Riversible belt black &brown
        Belt size 30/44
    Leather strap imp good quality 
*With brand box *

        LIMITED STOCK ONLY

PRICE - 2995 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-06 12:45:40+00:00,unknown,-1001226361445
2024-11-06 12:42:27+00:00,"*Ray-Ban:SUNGLASSES*

*UNISEX MODEL*

*PREMIUM QUALITY FRAME*

*UV PROTECTION LENS*

LIMITED STOCK ONLY

FREE RAYBAN POUCH 

Price - 2650 Birr

@easybuyorder1 | 0976667071",-1001226361445
2024-11-06 12:42:03+00:00,unknown,-1001226361445
2024-11-04 08:48:43+00:00,"Rolex daytona
Quartz collection 
High quality
 
Price - 4000 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-04 08:47:33+00:00,unknown,-1001226361445
2024-11-04 08:47:32+00:00,unknown,-1001226361445
2024-11-04 07:10:52+00:00,"Rolex daytona
Quartz collection 
High quality
 
Price - 4000 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-04 07:10:30+00:00,unknown,-1001226361445
2024-11-04 07:09:30+00:00,"Tissot
For Her
Best for Gift

Price - 3820 birr

@easybuyorder1 | 0976667071",-1001226361445
2024-11-04 07:09:03+00:00,unknown,-1001226361445
2024-11-04 07:09:00+00:00,unknown,-1001226361445
2024-11-03 14:14:33+00:00,unknown,-1001226361445
2024-11-03 14:14:32+00:00,unknown,-1001226361445
2024-11-03 14:14:32+00:00,"INTERNATIONAL BRANDS 
    Wallet +Belt COMBO
   Riversible belt black &brown
        Belt size 30/44
    Leather strap imp good quality 
*With brand box *

        LIMITED STOCK ONLY

PRICE - 2995 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-03 14:13:48+00:00,"MONT BLANC 
DUFFLE BAGS 
HOT SALES  

PRICE - 3880 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-03 14:13:15+00:00,unknown,-1001226361445
2024-11-03 14:12:53+00:00,"MONT BLANC 
DUFFLE BAGS 
TRENDING NOW  

PRICE - 3700 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-03 14:12:16+00:00,unknown,-1001226361445
2024-11-03 14:11:55+00:00,"MONT BLANC 
DUFFLE BAGS 
MOST SOLD ARTICLE 

PRICE - 3850 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-03 14:11:19+00:00,unknown,-1001226361445
2024-11-03 14:10:53+00:00,"MONT BLANC 
DUFFLE BAGS 
HURRY !!! GRAB NOW  

PRICE - 3830 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-11-03 14:10:08+00:00,unknown,-1001226361445
2024-10-26 15:17:39+00:00,"We are glad to announce we have started bringing stuffs from Amazon, ebay, SheIn and Alibaba just like before.

Send us the link from amazon.co.uk or other UK sites including ebay.co.uk
Alibaba and AliExpress items also

You will pay 50% advance payment and we will deliver.

@easybuyorder1 | 0976667071

EASYBUY MARKET ETHIOPIA",-1001226361445
2024-10-15 10:55:03+00:00,"*_ G-shock*_

Part No. Ga-2100
Drive system Digital 
Material: case Resin
Material: bel Resin
Windshield Mineral glass
Dial color Full black belt 
Countdown timer
Specification Watch
Impact resistant structures (shock resist)
20 ATM water resistant
-Case-bezel material: resin
Resin band



Price -3380 Birr

@easybuyorder1 | 0976667071",-1001226361445
2024-10-15 10:54:52+00:00,unknown,-1001226361445
2024-10-13 11:42:38+00:00,"Mad Wax mens shoe
Mens Slip On Shoes
  size 40 41 42 43

Directly imported from UK

4300birr

@easybuyorder1 | 0976667071",-1001226361445
2024-10-13 11:42:09+00:00,unknown,-1001226361445
2024-10-13 11:42:06+00:00,unknown,-1001226361445
2024-10-13 11:41:21+00:00,"Mad Wax mens shoe
Mens Slip On Shoes
 Tan size 41 42 43

Directly imported from UK

4500birr

@easybuyorder1 | 0976667071",-1001226361445
2024-10-13 11:40:21+00:00,unknown,-1001226361445
2024-10-13 11:39:31+00:00,"MONT BLANC
DUFFLE BAG
TRENDING NOW 


PRICE - 4060 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-10-13 11:38:58+00:00,unknown,-1001226361445
2024-10-13 11:37:17+00:00,"*Ray-Ban:SUNGLASSES*

*UNISEX MODEL*

*PREMIUM QUALITY FRAME*

*UV PROTECTION LENS*

LIMITED STOCK ONLY

Price - 2650 Birr

@easybuyorder1 | 0976667071",-1001226361445
2024-10-13 11:36:56+00:00,unknown,-1001226361445
2024-10-13 11:36:55+00:00,unknown,-1001226361445
2024-10-13 11:34:48+00:00,"MONT BLANC
DUFFLE BAG
LIMITED STOCK 

PRICE - 4215 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-10-13 11:34:15+00:00,unknown,-1001226361445
2024-10-11 14:15:07+00:00,"G-Shock GA2100 with metal body in stock _*

*_G-Shock Casio_* 

Water and impact Resistant 
Countdown timer
Mineral Glass
Digital drive System
Working StopWatch/ Day/Date Digital Display 
Smart fit Fibre strap 
Easy Pin Buckled Lock 

Working AutoLight 
Working Day Chronograph 
Working World time 

Price - 3960 Birrr

@easybuyorder1 | 0976667071",-1001226361445
2024-10-11 14:13:46+00:00,unknown,-1001226361445
2024-10-11 09:06:39+00:00,"Notice  

Prices have been updated as per the current market rates. There have been hikes in the current stock kindly check and update ur price forward. Thankyou

Have a Great Day ",-1001226361445
2024-09-26 06:54:58+00:00,We have delivery with ride for today,-1001226361445
2024-09-25 13:24:16+00:00,"ነገ motor ስለተከለከለ የምትፈልጉትን እቃ ዛሬ Order አድርጉ

0976667071

EASYBUY Ethiopia",-1001226361445
2024-09-25 08:43:08+00:00,"Polo Premium Gift Set

POLO AIR Men's Wristwatch Belt Wallet Card Holder Perfume Gift Combination

•Polo Watch
•Polo Perfume
•polo Wallet
•polo Card holder
•polo belt
All in one box

4800 birr

Limited quantity available

@easybuyorder1 | 0976667071",-1001226361445
2024-09-25 08:43:01+00:00,unknown,-1001226361445
2024-09-25 08:42:29+00:00,"Polo Premium Gift Set

POLO AIR Men's Wristwatch Belt Wallet Card Holder Perfume Gift Combination

•Polo Watch
•Polo Perfume
•polo Wallet
•polo Card holder
•polo belt
All in one box

4800 birr

Limited quantity available

@easybuyorder1 | 0976667071",-1001226361445
2024-09-25 08:42:02+00:00,unknown,-1001226361445
2024-09-25 08:42:01+00:00,unknown,-1001226361445
